"numRecipients","Domain","replyToSameAddress","Weekday","Hour","percentLowerCase","numDigits","percentNonLetters","Size","numLinks","localSender","credit","porn","sucker","pharm","prescription","drugs","save","sex","discreet","free","sell","sale","asseenon","discount","newsletter","spam"
1,"com","True","Wed",19,69.57,1,41.81,3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"gr","True","Wed",14,71.43,1,29.55,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"com","True","Wed",5,61.05,4,38.35,532,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
1,"com","True","Wed",8,84,0,46.29,2968,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,"com","True","Wed",7,62.07,0,23.3,1356,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,"net","True","Wed",0,60.42,5,36.99,519,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
1,"com","True","Tue",22,62.16,6,35.48,1040,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
1,"com","True","Tue",23,82.86,0,44.02,702,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"com","True","Tue",19,65.88,3,42.3,435,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,"com","True","Tue",17,73.56,3,44.62,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"com","True","Wed",3,79.49,0,38.66,1120,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"nz","True","Tue",8,64.79,3,34.98,1035,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
1,"com","True","Tue",8,74.12,2,45.22,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"ca","False","Tue",8,58.33,0,33.65,1923,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,"com","False","Tue",11,56.58,0,39.62,26231,114,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
1,"au","True","Tue",16,82.61,0,38.65,1123,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"com","True","Tue",5,54.41,2,45.24,504,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
1,"com","True","Tue",3,60.49,8,35.83,762,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,"com","False","Tue",2,0,0,26.96,1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"com","True","Tue",13,84.21,0,43.37,694,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"hu","True","Tue",6,77.78,1,42.41,738,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"com","True","Tue",4,82.35,0,37.31,1158,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"com","True","Mon",16,61.7,4,38.54,519,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
1,"com","False","Mon",17,61.11,0,27.6,5003,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,"uk","True","Mon",17,87.5,0,41.06,772,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"ch","True","Mon",13,59.6,7,35.28,754,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,"com","True","Mon",12,64.04,3,40.6,431,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,"ch","True","Mon",11,62.5,4,40.07,534,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
1,"com","True","Sun",23,76.92,0,47.5,4248,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,"com","True","Tue",12,88,0,38.47,1123,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"com","False","Mon",12,71.11,0,68.94,24595,61,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,"com","True","Mon",3,52.38,5,34.68,1018,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
1,"com","True","Mon",3,61.46,5,37.84,518,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
1,"com","True","Mon",2,53.01,4,36.12,1041,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
1,"nl","True","Mon",9,85,0,38.64,1118,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"com","True","Mon",15,19.39,9,72.4,5097,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"com","True","Sun",21,90.62,0,39.01,1169,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,"net","True","Sun",16,64.13,3,40.4,401,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,"org","True","Sun",15,62.92,3,41.55,414,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,"com","True","Sun",19,60,0,25,412,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,"su","True","Sun",18,86.96,0,38.4,1164,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,"com","True","Sat",14,81.82,0,38.21,1170,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,"ch","True","Sun",1,66.67,1,40.12,486,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
1,"org","True","Sun",1,66.67,7,40.2,408,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,"org","True","Sun",0,75.32,3,44.42,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"com","True","Sat",21,82.61,0,35.37,2197,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"com","True","Sat",9,76.25,3,44.62,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"com","True","Sat",19,90,0,38.48,23260,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"com","True","Sat",6,68.42,0,42.83,502,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
1,"uk","True","Sat",6,58.97,12,39.94,686,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1,"jp","True","Sat",20,21.57,13,61.78,3195,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"uk","True","Sat",2,66.07,1,41.58,493,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
1,"com","True","Sat",4,47.37,0,21.48,945,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,"com","True","Fri",22,59.66,12,33.65,734,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,"com","True","Fri",16,70.91,3,34.58,804,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1
1,"com","True","Fri",23,76.47,0,46.83,2127,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,"com","True","Fri",11,69.15,5,52.81,13024,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,"net","True","Fri",6,67.92,2,35.28,754,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
